Start Time:  3/31/2017 1:00:00 PM         Time Completed:  3/31/2017 1:36:15 PM     Elapsed Time:  00:36:14
Sample ID:     Magnetic Material

Experiment:    C:\DummyDir\file.exp
Data File:     C:\DummyDir\file.txt
Plot File:     C:\DummyDir\file.oc2
VSM Exp File:  C:\DummyDir\file.stp
VSM Data File: C:\DummyDir\file.dat

***DATA***

Field(G)	 Moment(emu)	
-14699.6 	-0.162668 	
-15199.3 	-0.162788 	
-15698.1 	-0.162895 	
-16198.6 	-0.162986 	
-16697.2 	-0.163053 	
-17197.6 	-0.163106 	
-17695.9 	-0.163133 	
-18195.8 	-0.163127 	
-18693 	-0.163068 	
-19190.6 	-0.162893 	
-19685.1 	-0.162545 	
-19708.4 	-0.162472 	
-19199.9 	-0.162916 	
-18695.8 	-0.163162 	
-18192.4 	-0.163273 	
-17692 	-0.163317 	
-17190.2 	-0.163328 	
-16690.5 	-0.163312 	
-16188.9 	-0.163276 	
-15689.7 	-0.163223 	
-15188.3 	-0.163154 	
-14689 	-0.16307 	
-14188 	-0.162974 	
-13687.5 	-0.162861 	
-13188.5 	-0.162729 	
-12687.5 	-0.16258 	
-12188.3 	-0.162415 	
-11687.3 	-0.162233 	
-11188.2 	-0.162037 	
-10687.2 	-0.16182 	
-10188.2 	-0.161587 	
-9687.02 	-0.161332 	
-9187.47 	-0.16105 	
-8687.88 	-0.160741 	
-8187.02 	-0.160393 	
-7688.03 	-0.160001 	
-7186.98 	-0.159545 	
-6687.97 	-0.159007 	
-6187.06 	-0.158354 	
-5687.97 	-0.157529 	
-5190.5 	-0.156452 	
-4916 	-0.155638 	
-4716.05 	-0.155002 	
-4516.28 	-0.15427 	
-4316.15 	-0.153413 	
-4116.03 	-0.152411 	
-3916.42 	-0.151243 	
-3716.06 	-0.149859 	
-3516.46 	-0.148226 	
-3316.04 	-0.146274 	
-3116.4 	-0.143963 	
-2916.02 	-0.141195 	
-2716.42 	-0.13789 	
-2516.01 	-0.133933 	
-2316.32 	-0.12924 	
-2116.19 	-0.123676 	
-1916.01 	-0.117148 	
-1716.54 	-0.109617 	
-1516.01 	-0.100995 	
-1316.44 	-0.0913777 	
-1116.01 	-0.0806923 	
-1005.96 	-0.0736918 	
-981.407 	-0.0721805 	
-956.418 	-0.0706722 	
-931.397 	-0.0691361 	
-906.493 	-0.0675952 	
-881.411 	-0.0660386 	
-856.41 	-0.0644625 	
-831.531 	-0.0628754 	
-806.402 	-0.0612636 	
-781.495 	-0.0596416 	
-756.404 	-0.0580004 	
-731.448 	-0.056344 	
-706.364 	-0.0546661 	
-681.455 	-0.0529765 	
-656.388 	-0.0512523 	
-631.449 	-0.0495202 	
-606.455 	-0.0477712 	
-581.426 	-0.0460027 	
-556.469 	-0.0442185 	
-531.426 	-0.0424131 	
-506.476 	-0.04059 	
-481.399 	-0.0387415 	
-456.446 	-0.0368821 	
-431.361 	-0.0349989 	
-406.498 	-0.0331101 	
-381.427 	-0.0311905 	
-356.412 	-0.0292531 	
-331.422 	-0.0273024 	
-306.47 	-0.0253401 	
-281.456 	-0.0233654 	
-256.385 	-0.0213637 	
-231.458 	-0.0193549 	
-206.438 	-0.0173348 	
-181.438 	-0.0153069 	
-156.437 	-0.0132544 	
-131.394 	-0.0112016 	
-116.24 	-0.00982821 	
-111.26 	-0.00941164 	
-106.285 	-0.00900179 	
-101.3 	-0.00858175 	
-96.2906 	-0.00816037 	
-91.2703 	-0.00774519 	
-86.291 	-0.00733022 	
-81.303 	-0.00691194 	
-76.3005 	-0.00650109 	
-71.2821 	-0.00608604 	
-66.3024 	-0.0056728 	
-61.2829 	-0.00524846 	
-56.2983 	-0.00482829 	
-51.2841 	-0.00441409 	
-46.296 	-0.00399976 	
-41.311 	-0.00358809 	
-36.3364 	-0.00317403 	
-31.2951 	-0.00276425 	
-26.3267 	-0.0023455 	
-21.3375 	-0.00192365 	
-16.3028 	-0.00150943 	
-11.3301 	-0.00109361 	
-6.28514 	-0.000667265 	
-1.27171 	-0.000247065 	
 3.67901 	 0.000169119 	
 8.72668 	 0.000582456 	
 13.6814 	 0.00100445 	
 18.6935 	 0.00143 	
 23.726 	 0.00184639 	
 28.6745 	 0.00226788 	
 33.6745 	 0.0026848 	
 38.6979 	 0.00309974 	
 43.711 	 0.00352321 	
 48.7044 	 0.00393718 	
 53.6854 	 0.00434788 	
 58.7023 	 0.00476346 	
 63.7086 	 0.00517389 	
 68.6279 	 0.00558659 	
 73.6801 	 0.00600923 	
 78.6799 	 0.00641606 	
 91.6213 	 0.00737643 	
 116.567 	 0.00939201 	
 141.557 	 0.0114354 	
 166.543 	 0.0134527 	
 191.615 	 0.0154683 	
 216.488 	 0.0174571 	
 241.523 	 0.0194473 	
 266.556 	 0.0214192 	
 291.512 	 0.0233725 	
 316.515 	 0.0253119 	
 341.528 	 0.0272378 	
 366.611 	 0.0291584 	
 391.565 	 0.0310547 	
 416.551 	 0.0329399 	
 441.544 	 0.0348032 	
 466.512 	 0.0366585 	
 491.547 	 0.0384983 	
 516.565 	 0.0403172 	
 541.546 	 0.042123 	
 566.534 	 0.043902 	
 591.467 	 0.045677 	
 616.483 	 0.0474244 	
 641.643 	 0.0491669 	
 666.488 	 0.0508811 	
 691.552 	 0.052589 	
 716.552 	 0.0542772 	
 741.58 	 0.0559511 	
 766.529 	 0.0575983 	
 791.531 	 0.0592342 	
 816.536 	 0.0608571 	
 841.534 	 0.0624583 	
